link,form,table
"<a class=""link"" onclick=""hide('roadblock-ad')"">कान्तिपुर वेबसाईट <i class=""icon-arrow-r""></i> </a>",,
"<a class=""link"" onclick=""hide('roadblock-ad')"">कान्तिपुर वेबसाईट <i class=""icon-arrow-r""></i> </a>",,
"<a href=""https://kantipurevents.com/kantipur-conclave/kantipur-conclave-2026"" onclick=""hide('roadblock-ad')"" target=""_blank""><div class=""rb_image""><img alt=""Advertisement"" src=""https://assets-cdn.ekantipur.com/uploads/source/ads/conclave-desk-2512026012206.jpg""/></div></a>",,
,,
"<a class=""button secondary"" onclick=""Auth.do_fb_login();"" style=""cursor:pointer""><i class=""icon-facebook""></i> <div class=""signupWithFacebookText""> फेसबुकबाट साइन अप</div></a>","<form class=""formPanel"" id=""frm-alert-signup""><div class=""mainTitle""><img alt="""" src=""https://jcss-cdn.ekantipur.com/kantipurdaily/images/publication.png""/><span class=""kantipurNetworkText"">कान्तिपुर नेटवर्क</span><span class=""signupText"">साइन अप</span></div><a class=""button secondary"" onclick=""Auth.do_fb_login();"" style=""cursor:pointer""><i class=""icon-facebook""></i> <div class=""signupWithFacebookText""> फेसबुकबाट साइन अप</div></a><div class=""type-seprator""><span class=""orText"">अथवा</span></div><div><input class=""textfield fullnamePlaceholder txtFullName"" id=""txtFullNameee"" name=""txtFullName"" onkeyup=""submitRegister(event,'frm-alert-signup');"" placeholder=""पूरा नाम"" required="""" type=""text""/></div><div><input class=""textfield loginFormEmail txtEmail"" id=""txtEmaill1"" name=""txtEmail"" onkeyup=""submitRegister(event,'frm-alert-signup');"" placeholder=""ई-मेल"" required="""" type=""email""/></div><div><input class=""textfield loginFormPassword txtPassword"" id=""txtPassworddd"" minlength=""5"" name=""txtPassword"" onkeyup=""submitRegister(event,'frm-alert-signup');"" placeholder=""पासवर्ड"" required="""" type=""password""/></div><div class=""submit"" onclick=""Auth.do_register();"">साइन अप</div><div class=""signUp doLoginText"">तपाईंको खाता पहिले देखि छ ? <a onclick=""openAccessAlert('pnl-alert-signin')"">लगइन</a> गर्नुहोस् ।</div><div class=""loading""><i aria-hidden=""true"" class=""icon-repeat margin-bottom""></i></div><div class=""success""></div><div class=""error""></div></form>",
"<a class=""button secondary"" onclick=""Auth.do_fb_login();"" style=""cursor:pointer""><i class=""icon-facebook""></i> <div class=""signupWithFacebookText""> फेसबुकबाट साइन अप</div></a>","<form class=""formPanel"" id=""frm-alert-signup""><div class=""mainTitle""><img alt="""" src=""https://jcss-cdn.ekantipur.com/kantipurdaily/images/publication.png""/><span class=""kantipurNetworkText"">कान्तिपुर नेटवर्क</span><span class=""signupText"">साइन अप</span></div><a class=""button secondary"" onclick=""Auth.do_fb_login();"" style=""cursor:pointer""><i class=""icon-facebook""></i> <div class=""signupWithFacebookText""> फेसबुकबाट साइन अप</div></a><div class=""type-seprator""><span class=""orText"">अथवा</span></div><div><input class=""textfield fullnamePlaceholder txtFullName"" id=""txtFullNameee"" name=""txtFullName"" onkeyup=""submitRegister(event,'frm-alert-signup');"" placeholder=""पूरा नाम"" required="""" type=""text""/></div><div><input class=""textfield loginFormEmail txtEmail"" id=""txtEmaill1"" name=""txtEmail"" onkeyup=""submitRegister(event,'frm-alert-signup');"" placeholder=""ई-मेल"" required="""" type=""email""/></div><div><input class=""textfield loginFormPassword txtPassword"" id=""txtPassworddd"" minlength=""5"" name=""txtPassword"" onkeyup=""submitRegister(event,'frm-alert-signup');"" placeholder=""पासवर्ड"" required="""" type=""password""/></div><div class=""submit"" onclick=""Auth.do_register();"">साइन अप</div><div class=""signUp doLoginText"">तपाईंको खाता पहिले देखि छ ? <a onclick=""openAccessAlert('pnl-alert-signin')"">लगइन</a> गर्नुहोस् ।</div><div class=""loading""><i aria-hidden=""true"" class=""icon-repeat margin-bottom""></i></div><div class=""success""></div><div class=""error""></div></form>",
,,
,,
,,
,,
,,
,,
,,
,,
"<a onclick=""openAccessAlert('pnl-alert-signin')"">लगइन</a>",,
,,
,,
,,
,,
